"source","destination","targetPorts","bytesOut","bytesIn","durationSeconds","firstFlowDate","lastFlowDate","attemptCount"
"172.10.1.96","10.0.0.12",111,51548,627.7837838,35,"2013-04-03 06:53:29","2013-04-03 15:02:00",111
"172.30.1.28","10.0.0.8",88,40268,624.9090909,57,"2013-04-03 06:51:01","2013-04-03 12:04:55",88
"10.1.0.75","172.10.1.27",1,633,392.0,0,"2013-04-03 11:23:51","2013-04-03 11:23:51",1
"172.10.1.252","10.0.0.8",87,39815,627.3103448,19,"2013-04-03 06:58:46","2013-04-03 14:44:36",87
"172.10.1.229","10.0.0.12",82,37228,631.6829268,6,"2013-04-03 06:50:17","2013-04-03 14:46:19",82
"172.30.1.20","10.0.0.10",68,30826,622.2205882,28,"2013-04-03 06:48:03","2013-04-03 12:08:57",68
"172.10.1.25","10.0.0.14",102,45970,627.9313725,16,"2013-04-03 06:49:25","2013-04-03 14:59:21",102
"172.30.1.210","10.0.0.9",135,61342,623.9555556,11,"2013-04-03 06:48:01","2013-04-03 15:17:27",135
"10.0.0.13","172.30.1.214",1,633,392.0,0,"2013-04-03 11:32:33","2013-04-03 11:32:33",1
"10.0.0.12","172.10.1.12",1,633,392.0,0,"2013-04-03 11:44:46","2013-04-03 11:44:46",1
"172.20.0.4","172.20.1.104",40,2542700,0.0,157,"2013-04-03 07:25:41","2013-04-03 07:57:31",40
"10.7.5.5","172.20.1.94",7,14657382,51328.28571,256,"2013-04-03 10:34:51","2013-04-03 11:15:36",7
"172.30.2.128","172.30.0.4",5,930,0.0,40,"2013-04-03 11:54:28","2013-04-03 11:58:28",5
"172.30.1.181","10.0.0.8",79,35795,624.1012658,10,"2013-04-03 06:48:20","2013-04-03 11:43:13",79
"172.10.1.225","10.0.0.8",80,36240,631.325,8,"2013-04-03 06:53:41","2013-04-03 14:33:58",80
"172.10.1.12","10.0.0.9",111,50578,628.1081081,41,"2013-04-03 06:49:58","2013-04-03 14:46:03",111
"172.10.1.103","10.0.0.14",69,31678,630.6521739,10,"2013-04-03 06:50:15","2013-04-03 14:56:57",69
"172.10.2.140","10.0.0.7",111,47619,631.4414414,2,"2013-04-03 06:49:34","2013-04-03 15:15:06",111
"172.10.2.80","10.0.0.12",125,53980,629.296,33,"2013-04-03 06:52:26","2013-04-03 14:31:28",125
"172.30.1.119","10.0.0.11",80,36212,630.975,20,"2013-04-03 06:52:44","2013-04-03 12:05:32",80
"10.0.0.9","172.10.2.96",3,1772,194.3333333,0,"2013-04-03 09:34:05","2013-04-03 10:44:33",3
"172.10.2.134","10.0.0.9",102,44114,630.8627451,17,"2013-04-03 06:51:58","2013-04-03 14:48:48",102
"172.30.2.112","10.0.0.11",75,32864,604.08,92,"2013-04-03 06:48:14","2013-04-03 12:12:37",75
"172.10.0.6","172.30.1.140",3,222,0.0,0,"2013-04-03 02:18:01","2013-04-03 05:28:17",3
"172.30.1.248","10.0.0.14",116,52610,632.5344828,2,"2013-04-03 06:54:25","2013-04-03 15:10:57",116
"10.1.0.77","172.10.1.19",1,571,108.0,0,"2013-04-03 09:57:44","2013-04-03 09:57:44",1
"10.0.0.13","172.30.2.119",1,633,392.0,0,"2013-04-03 10:48:29","2013-04-03 10:48:29",1
"10.0.0.6","172.10.2.138",1,632,367.0,0,"2013-04-03 10:26:37","2013-04-03 10:26:37",1
"172.10.1.210","10.0.0.11",103,46431,620.2621359,2,"2013-04-03 06:52:54","2013-04-03 14:55:18",103
"172.20.0.4","172.20.1.121",17,1024673,0.0,69,"2013-04-03 07:09:20","2013-04-03 07:57:30",17
"172.30.1.159","10.0.0.14",69,30434,606.3768116,7,"2013-04-03 06:51:43","2013-04-03 12:03:53",69
"172.10.2.66","10.0.0.12",122,51890,627.8114754,8,"2013-04-03 06:49:29","2013-04-03 14:44:19",122
"172.10.1.119","10.199.250.2",33,56938,71066.90909,9,"2013-04-03 07:15:30","2013-04-03 10:12:22",33
"172.20.1.12","239.255.255.250",15,2975,0.0,6,"2013-04-03 06:36:51","2013-04-03 06:36:59",15
"172.20.1.247","10.0.0.8",121,54651,630.214876,49,"2013-04-03 06:49:56","2013-04-03 14:53:01",121
"172.30.2.88","10.1.0.75",73,31156,590.8082192,332,"2013-04-03 06:48:15","2013-04-03 12:12:37",73
"172.20.1.30","10.7.5.5",37,2211428,2455147.919,1943,"2013-04-03 10:10:18","2013-04-03 11:05:16",37
"172.30.1.38","10.0.0.10",82,36266,615.5853659,96,"2013-04-03 06:49:05","2013-04-03 12:07:44",82
"10.0.0.7","172.10.2.103",1,632,367.0,0,"2013-04-03 10:07:44","2013-04-03 10:07:44",1
"172.10.2.133","10.0.0.13",106,45356,626.4433962,17,"2013-04-03 06:50:36","2013-04-03 14:52:41",106
"172.20.2.140","10.0.0.6",76,34320,630.4736842,13,"2013-04-03 06:49:24","2013-04-03 11:29:59",76
"172.10.1.242","10.0.0.14",83,37736,631.6987952,6,"2013-04-03 06:48:42","2013-04-03 14:45:03",83
"172.30.1.11","10.1.0.75",67,30594,623.6716418,114,"2013-04-03 06:50:21","2013-04-03 12:00:00",67
"172.10.0.6","172.20.1.254",5,370,0.0,0,"2013-04-03 04:21:47","2013-04-03 20:17:15",5
"172.10.1.143","10.0.0.12",85,38888,609.2117647,24,"2013-04-03 06:56:15","2013-04-03 15:10:00",85
"172.10.1.158","10.7.5.5",312,24033739,3246387.397,6322,"2013-04-03 10:09:10","2013-04-03 15:01:19",312
"172.30.1.245","10.0.0.8",119,54141,618.0168067,13,"2013-04-03 06:49:22","2013-04-03 15:15:33",119
"172.30.1.240","10.0.0.5",113,51364,630.4955752,21,"2013-04-03 06:48:38","2013-04-03 14:47:56",113
"172.10.2.106","10.0.0.9",115,49076,621.6173913,33,"2013-04-03 06:49:29","2013-04-03 14:53:58",115
"172.20.2.137","10.0.0.10",63,28156,606.6666667,3,"2013-04-03 06:49:20","2013-04-03 11:10:22",63
"172.10.1.19","10.0.0.13",126,57264,627.9761905,5,"2013-04-03 07:00:16","2013-04-03 15:08:14",126
"172.10.1.118","10.1.0.77",77,34788,624.0779221,24,"2013-04-03 06:52:41","2013-04-03 15:10:47",77
"172.10.1.17","239.255.255.250",15,2975,0.0,6,"2013-04-03 06:36:19","2013-04-03 06:36:27",15
"172.10.1.231","10.0.0.9",94,42528,630.8510638,9,"2013-04-03 06:49:36","2013-04-03 14:56:49",94
"172.30.2.109","10.0.0.5",73,30634,582.6849315,33,"2013-04-03 06:50:48","2013-04-03 12:12:37",73
"10.0.0.10","172.10.2.51",1,633,368.0,0,"2013-04-03 09:43:53","2013-04-03 09:43:53",1
"172.30.1.251","10.0.0.9",107,49041,627.6074766,38,"2013-04-03 06:50:33","2013-04-03 15:06:42",107
"172.10.2.65","172.0.0.1",28,2610,83.57142857,0,"2013-04-03 01:10:48","2013-04-03 23:15:00",28
"172.10.1.164","10.1.0.100",74,33670,633.2702703,3,"2013-04-03 06:53:34","2013-04-03 15:17:47",74
"172.30.1.61","10.0.0.6",75,33700,622.1333333,100,"2013-04-03 06:49:13","2013-04-03 12:11:02",75
"172.20.1.221","10.0.0.7",130,58836,627.1384615,65,"2013-04-03 06:49:02","2013-04-03 15:10:02",130
"172.20.2.87","10.0.0.6",87,38796,606.2298851,8,"2013-04-03 06:50:21","2013-04-03 11:12:35",87
"172.10.1.155","10.0.0.14",74,33838,632.2702703,12,"2013-04-03 06:50:46","2013-04-03 15:03:50",74
"172.20.2.128","172.0.0.1",25,2610,97.2,18,"2013-04-03 01:23:43","2013-04-03 22:16:11",25
"172.10.1.20","10.1.0.76",77,34904,626.2857143,10,"2013-04-03 06:53:46","2013-04-03 15:06:22",77
"172.10.1.54","10.0.0.10",109,49716,631.5137615,19,"2013-04-03 06:48:37","2013-04-03 15:11:25",109
"172.20.1.31","239.255.255.250",1,525,0.0,6,"2013-04-03 06:36:59","2013-04-03 06:36:59",1
"172.30.1.221","10.0.0.11",129,58742,632.1627907,11,"2013-04-03 06:49:39","2013-04-03 15:08:20",129
"10.0.0.14","172.30.2.100",1,571,108.0,0,"2013-04-03 10:20:55","2013-04-03 10:20:55",1
"172.20.1.243","10.0.0.6",119,53919,629.1428571,74,"2013-04-03 06:49:11","2013-04-03 15:06:50",119
"172.10.2.86","239.255.255.250",16,3150,0.0,6,"2013-04-03 06:36:40","2013-04-03 06:36:48",16
"172.10.1.196","10.0.0.14",66,30194,629.7272727,19,"2013-04-03 07:01:08","2013-04-03 14:49:42",66
"172.20.1.29","239.255.255.250",21,4025,0.0,6,"2013-04-03 06:36:50","2013-04-03 06:36:59",21
"172.10.1.83","10.0.0.7",84,38281,631.3571429,11,"2013-04-03 06:51:04","2013-04-03 15:03:47",84
"172.10.1.71","10.0.0.5",106,47627,625.0188679,7,"2013-04-03 06:50:15","2013-04-03 14:38:43",106
"172.10.1.156","10.0.0.6",73,33123,631.260274,4,"2013-04-03 06:52:14","2013-04-03 15:05:19",73
"10.0.0.5","172.20.2.99",1,570,108.0,0,"2013-04-03 10:05:04","2013-04-03 10:05:04",1
"172.30.1.66","239.255.255.250",12,3150,0.0,18,"2013-04-03 06:35:22","2013-04-03 06:44:08",12
"10.0.0.9","172.10.1.33",2,624,54.0,0,"2013-04-03 10:06:06","2013-04-03 10:52:27",2
"172.20.1.219","239.255.255.250",1,525,0.0,6,"2013-04-03 06:37:23","2013-04-03 06:37:23",1
"172.10.1.100","10.0.0.5",112,51314,630.5535714,59,"2013-04-03 06:48:53","2013-04-03 15:12:00",112
"172.10.2.91","10.0.0.10",129,55676,626.4186047,39,"2013-04-03 06:49:38","2013-04-03 15:03:44",129
"172.30.1.31","10.0.0.14",68,30256,620.5147059,7,"2013-04-03 06:49:43","2013-04-03 12:05:43",68
"10.0.0.11","172.20.1.36",1,633,392.0,0,"2013-04-03 10:08:18","2013-04-03 10:08:18",1
"172.30.2.65","172.0.0.1",1,270,0.0,1,"2013-04-03 06:36:09","2013-04-03 06:36:09",1
"172.10.1.165","10.0.0.12",67,30364,623.5522388,22,"2013-04-03 06:50:58","2013-04-03 14:55:18",67
"10.0.0.6","172.20.2.131",1,54,0.0,0,"2013-04-03 09:38:34","2013-04-03 09:38:34",1
"172.10.1.231","10.0.0.8",87,39524,630.6666667,9,"2013-04-03 06:50:03","2013-04-03 15:13:09",87
"10.0.0.9","172.30.2.116",1,632,391.0,0,"2013-04-03 09:56:07","2013-04-03 09:56:07",1
"172.10.2.109","10.0.0.6",96,41389,631.4375,13,"2013-04-03 06:49:13","2013-04-03 14:49:02",96
"172.30.1.74","10.0.0.13",76,33204,612.5789474,22,"2013-04-03 06:49:10","2013-04-03 12:10:41",76
"10.0.0.8","172.20.1.32",1,570,108.0,0,"2013-04-03 09:34:46","2013-04-03 09:34:46",1
"10.0.0.9","172.30.1.175",1,570,108.0,0,"2013-04-03 10:01:24","2013-04-03 10:01:24",1
"172.30.2.99","10.0.0.11",90,38142,572.6222222,70,"2013-04-03 06:53:43","2013-04-03 12:12:37",90
"172.10.1.112","10.0.0.10",72,33324,624.3194444,16,"2013-04-03 07:06:59","2013-04-03 14:51:21",72
"172.10.0.6","172.10.1.47",1,74,0.0,0,"2013-04-03 06:47:41","2013-04-03 06:47:41",1
"172.30.1.239","10.0.0.13",103,46546,627.3786408,3,"2013-04-03 06:48:15","2013-04-03 15:17:25",103
"10.0.0.6","172.30.1.50",1,632,391.0,0,"2013-04-03 11:10:16","2013-04-03 11:10:16",1
"10.0.0.6","172.30.2.125",1,570,108.0,0,"2013-04-03 11:41:30","2013-04-03 11:41:30",1
"10.0.0.14","172.20.2.49",1,633,392.0,0,"2013-04-03 10:19:41","2013-04-03 10:19:41",1
"172.30.1.103","10.0.0.11",75,34280,629.4,21,"2013-04-03 06:49:00","2013-04-03 12:05:33",75
"10.0.0.9","172.10.1.60",1,632,391.0,0,"2013-04-03 10:37:26","2013-04-03 10:37:26",1
"172.30.1.109","10.0.0.13",74,34056,626.7432432,24,"2013-04-03 06:50:25","2013-04-03 11:55:44",74
"172.30.1.144","239.255.255.250",12,2800,0.0,12,"2013-04-03 06:35:51","2013-04-03 06:43:26",12
"172.10.1.151","10.0.0.11",81,37204,620.2345679,39,"2013-04-03 06:51:37","2013-04-03 14:54:49",81
"10.0.0.14","172.10.2.59",1,633,368.0,0,"2013-04-03 10:00:58","2013-04-03 10:00:58",1
"172.20.0.3","172.20.1.143",1,317,0.0,0,"2013-04-03 07:23:16","2013-04-03 07:23:16",1
"172.20.2.108","10.0.0.5",67,30122,631.0746269,10,"2013-04-03 06:50:10","2013-04-03 11:27:58",67
"172.20.1.48","10.7.5.5",67,3778254,2218220.328,3701,"2013-04-03 10:13:19","2013-04-03 11:31:38",67
"10.0.0.14","172.20.1.213",1,633,392.0,0,"2013-04-03 10:36:01","2013-04-03 10:36:01",1
"172.10.1.150","10.0.0.6",82,37092,624.2926829,42,"2013-04-03 06:49:50","2013-04-03 15:13:23",82
"10.0.0.13","172.10.1.194",1,571,108.0,0,"2013-04-03 09:57:07","2013-04-03 09:57:07",1
"10.1.0.76","172.10.1.134",1,579,392.0,2,"2013-04-03 10:37:17","2013-04-03 10:37:17",1
"172.10.1.180","10.0.0.14",73,33318,624.4383562,37,"2013-04-03 06:49:16","2013-04-03 15:09:14",73
"172.30.1.23","10.0.0.6",73,33298,631.260274,29,"2013-04-03 06:56:38","2013-04-03 12:12:08",73
"172.30.2.67","10.1.0.75",54,22808,583.1111111,120,"2013-04-03 06:48:57","2013-04-03 12:12:37",54
"172.30.1.239","10.0.0.6",118,53367,621.8813559,6,"2013-04-03 06:48:38","2013-04-03 15:02:12",118
"172.10.1.135","10.0.0.7",71,32513,622.4507042,40,"2013-04-03 06:51:07","2013-04-03 14:40:09",71
"172.10.1.99","10.0.0.5",94,43114,623.3191489,56,"2013-04-03 06:51:20","2013-04-03 15:05:28",94
"172.20.2.117","10.0.0.12",71,32312,627.2394366,34,"2013-04-03 06:52:41","2013-04-03 11:14:08",71
"172.20.2.81","10.0.0.8",75,34216,624.4,42,"2013-04-03 06:50:42","2013-04-03 11:16:35",75
"172.30.1.205","172.30.0.4",4,744,0.0,34,"2013-04-03 11:54:22","2013-04-03 11:57:46",4
"172.10.1.90","10.0.0.11",103,46762,631.4271845,4,"2013-04-03 06:52:22","2013-04-03 14:56:30",103
"172.10.0.6","172.10.1.214",5,466,0.0,0,"2013-04-03 04:21:00","2013-04-03 21:16:42",5
"172.30.1.15","10.0.0.13",53,24262,622.2264151,27,"2013-04-03 06:49:01","2013-04-03 12:08:14",53
"10.0.0.7","172.30.2.140",2,108,0.0,0,"2013-04-03 10:06:27","2013-04-03 12:08:52",2
"172.20.1.20","10.0.0.5",69,30974,622.057971,4,"2013-04-03 06:49:13","2013-04-03 11:08:14",69
"172.10.2.57","10.0.0.12",112,48194,613.5,15,"2013-04-03 06:50:51","2013-04-03 15:04:33",112
"172.30.1.232","10.0.0.10",124,57048,632.1290323,26,"2013-04-03 06:48:16","2013-04-03 14:58:31",124
"172.10.0.6","172.20.1.16",15,1110,0.0,0,"2013-04-03 04:21:36","2013-04-03 23:17:52",15
"172.30.1.199","10.0.0.6",83,37391,623.1807229,3,"2013-04-03 06:49:39","2013-04-03 12:02:47",83
"172.30.2.70","10.0.0.13",47,20822,615.9148936,86,"2013-04-03 06:50:41","2013-04-03 12:06:35",47
"172.30.1.241","239.255.255.250",5,1225,0.0,6,"2013-04-03 06:36:13","2013-04-03 06:36:20",5
"172.20.1.78","10.0.0.8",81,36807,618.4938272,28,"2013-04-03 06:51:02","2013-04-03 11:09:03",81
"172.30.0.8","172.255.255.255",1,276,0.0,1,"2013-04-03 02:55:32","2013-04-03 02:55:32",1
"10.1.0.75","172.10.1.71",1,571,108.0,0,"2013-04-03 11:45:16","2013-04-03 11:45:16",1
"172.10.0.6","172.30.1.3",7,518,0.0,0,"2013-04-03 04:57:33","2013-04-03 21:18:04",7
"172.20.1.25","10.0.0.13",55,24970,632.0181818,3,"2013-04-03 06:48:54","2013-04-03 11:14:27",55
"10.0.0.5","172.10.1.222",1,632,391.0,0,"2013-04-03 09:38:12","2013-04-03 09:38:12",1
